categoria,nombre,precio,precio_transferencia,descripcion,variantes,url
"" ,"BALANCED LATA GATO SENIOR X 85GR","Precio sin impuestos
                            : $0,00","$2.700,00 Precio sin impuestos $2.231,40 $2.565,00 con Transferencia o depósito bancario 💰","Balanced Soufflé para gatos senior está formulado para acompañar a tu gato en su etapa adulta avanzada, combinando una textura suave y aireada con nutrientes clave para su bienestar. ✔️ Con DHA , que ","","https://lamascoteranoa.com.ar/productos/balanced-lata-gato-senior-x-85gr/"
"" ,"BALANCED LATA PERRO ADULTO X 340GR","Precio sin impuestos
                            : $0,00","$7.600,00 Precio sin impuestos $6.280,99 $7.220,00 con Transferencia o depósito bancario 💰","Balanced Soufflé para perros adultos combina una textura aireada y delicada con ingredientes seleccionados para una experiencia de alimentación más placentera y completa. ✔️ Con prebióticos que favore","","https://lamascoteranoa.com.ar/productos/balanced-lata-perro-adulto-x-340gr/"
"" ,"BALANCED LATA PERRO ADULTO X 85GR","Precio sin impuestos
                            : $0,00","$2.700,00 Precio sin impuestos $2.231,40 $2.565,00 con Transferencia o depósito bancario 💰","Balanced Soufflé para perros adultos combina una textura aireada y delicada con ingredientes seleccionados para una experiencia de alimentación más placentera y completa. ✔️ Con prebióticos que favore","","https://lamascoteranoa.com.ar/productos/balanced-lata-perro-adulto-x-85gr/"
"" ,"BALANCED LATA PERRO SENIOR X 340GR","Precio sin impuestos
                            : $0,00","$7.600,00 Precio sin impuestos $6.280,99 $7.220,00 con Transferencia o depósito bancario 💰","Balanced Soufflé para perros senior ofrece una textura aireada y delicada, ideal para facilitar la masticación y digestión en perros mayores, con nutrientes que acompañan esta etapa de la vida. ✔️ Con","","https://lamascoteranoa.com.ar/productos/balanced-lata-perro-senior-x-340gr/"
"" ,"BALANCED LATA PERRO SENIOR X 85GR","Precio sin impuestos
                            : $0,00","$2.700,00 Precio sin impuestos $2.231,40 $2.565,00 con Transferencia o depósito bancario 💰","Balanced Soufflé para perros senior ofrece una textura aireada y delicada, ideal para facilitar la masticación y digestión en perros mayores, con nutrientes que acompañan esta etapa de la vida. ✔️ Con","","https://lamascoteranoa.com.ar/productos/balanced-lata-perro-senior-x-85gr/"
"" ,"BANDEJAS MINI HEMBRA","Precio sin impuestos
                            : $0,00","$48.600,00 Precio sin impuestos $40.165,29 $46.170,00 con Transferencia o depósito bancario 💰","Es práctica, segura, combina muy bien en interiores y funciona para exteriores también. Sistema bicapa 2 en 1 que mantiene el pasto separado (15 mm) del líquido para mantenerlo seco! Pasto bicolor de ","","https://lamascoteranoa.com.ar/productos/bandejas-mini-hembra/"
"" ,"BEBEDERO PORTATIL","Precio sin impuestos
                            : $0,00","$8.200,00 Precio sin impuestos $6.776,86 $7.790,00 con Transferencia o depósito bancario 💰","Bebedero portátil para mascotas Incluye Gancho Sujetador Capacidad:300 ml Colores Disponibles: Negro, celeste, fucsia y gris pastel Podes dejarnos en notas, cualquier información que quieras darnos co","","https://lamascoteranoa.com.ar/productos/bebedero-portatil/"
"" ,"BEBEDERO PORTATIL X 350ML","Precio sin impuestos
                            : $0,00","$14.400,00 Precio sin impuestos $11.900,83 $13.680,00 con Transferencia o depósito bancario 💰","COMEDERO PLASTICO P+ $0,00 $2.100,00 $1.995,00 con Transferencia o depósito bancario 💰","","https://lamascoteranoa.com.ar/productos/bebedero-portatil-x-350ml/"
"" ,"BISCUITS DE POLLO X 120 GRS","Precio sin impuestos
                            : $0,00","$2.800,00 Precio sin impuestos $2.314,05 $2.660,00 con Transferencia o depósito bancario 💰","PROMOCIONES NO ACUMULABLES CON OTROS DESCUENTOS Estos snacks tienen un sabor a pollo irresistible y una textura super crocante. Además, su forma y tamaño son ideales para colocar dentro de cualquier j","","https://lamascoteranoa.com.ar/productos/biscuits-de-pollo-x-120-grs/"
"" ,"BOCADITOS DE LA GRANJA X 45 GRS","Precio sin impuestos
                            : $0,00","$3.100,00 Precio sin impuestos $2.561,98 $2.945,00 con Transferencia o depósito bancario 💰","PROMOCIONES NO ACUMULABLES CON OTROS DESCUENTOS Bocaditos semi húmedos con sabores de la granja. Cuentan con el aporte de Taurina, que mejora la digestión. Además, contiene antioxidantes. Su incorpora","","https://lamascoteranoa.com.ar/productos/bocaditos-de-la-granja-x-45-grs/"
